geom_x_y;M2;N_AR
48.8771044805,2.32078488482;157.0950111;8
48.8774410214,2.32117698796;70.6170465;8
48.878133547,2.32658448804;171.3029652;8
48.8774917054,2.32593120439;21.9848463;8
48.8776304988,2.30659730392;265.5585782;8
48.8744125914,2.34376450854;64.699396;9
48.8745599599,2.34208280007;59.3470832;9
48.8748404974,2.345269652;10.9859995;9
48.8754410637,2.34293456219;6.3990421;9
48.8748311132,2.33858138541;11.3250243;9
48.8754876557,2.33938111907;33.5677016;9
48.8748054221,2.34043275993;193.308063;9
48.8755700372,2.33902974822;36.8826191;9
48.8751662092,2.34404175525;38.0333021;9
48.875081958,2.34365888283;38.0817705;9
48.8756585631,2.34377895443;5.9940561;9
48.875765516,2.34525723939;68.2391216;9
48.8751573216,2.34584005032;4.270475;9
48.8752116084,2.34672123775;17.7748405;9
48.8754452897,2.34769549299;21.8856364;9
48.8752155986,2.34613522363;532.7809254;9
48.8757174733,2.34621562358;11.1688289;9
48.8757369534,2.34535974926;5.3791371;9
48.8757101526,2.34642831368;16.0244994;9
48.8755881941,2.34566891456;137.8892851;9
48.8750478427,2.3474188543;215.7514094;9
48.8750658937,2.34780731058;35.1579163;9
48.8751226707,2.34793829628;3.4209839;9
48.8760215017,2.34715532072;36.6641687;9
48.8759694128,2.34182871914;4.6054874;9
48.8761282199,2.3412694611;2.5132101000000002;9
48.8761086542,2.34691329092;103.8882344;9
48.8761690345,2.3434567676;106.2394692;9
48.8763422855,2.3411726514;183.8532999;9
48.8419564473,2.33362094223;14.7022074;6
48.8415988946,2.33543315059;7.5429688;6
48.8764529249,2.33940051738;1.2883116000000001;9
48.8762347284,2.34295932039;111.7870557;9
48.8753956891,2.3476019926;129.9799835;9
48.8752728024,2.3473031968;15.2227886;9
48.8757076972,2.34759955622;167.5677348;9
48.8416636632,2.33504475306;52.4844258;6
48.8411649036,2.33408461388;15.9899995;6
48.8421455484,2.33080541476;2.1178959;6
48.8424288304,2.33125934426;39.2652892;6
48.8420194278,2.33037704912;4.9819251;6
48.8421963994,2.32987117163;182.1141889;6
48.842710591,2.33197378775;9.9660575;6
48.8425919875,2.33200961549;168.0287248;6
48.8419115729,2.33148241062;1.5497733;6
48.8420534652,2.33107029186;24.6004939;6
48.8421716157,2.33401242301;329.7098581;6
48.8425623379,2.3337009826;99.1785529;6
48.8427064538,2.33406964017;53.8437341;6
48.8423936757,2.33450716796;10.9414535;6
48.84186845,2.33480358802;2.876024;6
48.8417191577,2.33453359147;697.3743197;6
48.8436018321,2.3282822518;5.4154701;6
48.8435792113,2.32824579904;28.7145522;6
48.8433515908,2.32791193243;13.1914173;6
48.8429269515,2.32858851107;99.1903093;6
48.8432223467,2.32893558338;9.640297799999999;6
48.8434172041,2.3294419409;226.9810169;6
48.8582579212,2.32135100171;104.6774975;7
48.8584003548,2.32180332431;473.0099452;7
48.8577802593,2.32199932873;207.2110631;7
48.8577012722,2.3221287419;24.9321206;7
48.8580523241,2.32201610949;53.0442622;7
48.8592924749,2.3107469822;26.6757659;7
48.8580930863,2.31506905704;70.3611182;7
48.8590469133,2.31762328081;34.7503853;7
48.8588858805,2.31731689479;30.3473622;7
48.8587194195,2.31752957045;148.8971621;7
48.8595768119,2.31575446934;9.9811374;7
48.8596568653,2.31581671222;139.5240226;7
48.8587333009,2.32005127618;152.3113441;7
48.8592808903,2.3201708831;406.5007225;7
48.8590579872,2.3190545624;451.9605505;7
48.8592407313,2.32111297697;468.6266148;7
48.8595717835,2.31078541448;4.8282023;7
48.8598066473,2.31088719761;11.5152774;7
48.8595678956,2.31088174056;5.8587982;7
48.8596550478,2.31058115036;71.523093;7
48.8599366119,2.31915262191;44.7111738;7
